experiment id: 0, method: ndea, base_learner: Decision Tree task: 7, fold: 0, accuracy: 0.8260869565217391, train_accuracy: 0.8253968253968255, ensemble_size: 10, duration: 65.5629518032074, other_results = []
experiment id: 46, method: ndea, base_learner: Decision Tree task: 40, fold: 3, accuracy: 0.7727272727272727, train_accuracy: 0.7833333333333333, ensemble_size: 10, duration: 19.76956844329834, other_results = []
experiment id: 47, method: ndea, base_learner: Decision Stump task: 40, fold: 3, accuracy: 0.6818181818181818, train_accuracy: 0.7333333333333334, ensemble_size: 10, duration: 17.374412536621094, other_results = []
experiment id: 48, method: ndea, base_learner: Decision Tree task: 40, fold: 4, accuracy: 0.6666666666666666, train_accuracy: 0.7999999999999999, ensemble_size: 10, duration: 18.9008207321167, other_results = []
experiment id: 49, method: ndea, base_learner: Decision Stump task: 40, fold: 4, accuracy: 0.5714285714285714, train_accuracy: 0.7166666666666667, ensemble_size: 10, duration: 19.405290842056274, other_results = []
experiment id: 50, method: ndea, base_learner: Decision Tree task: 40, fold: 5, accuracy: 0.7619047619047619, train_accuracy: 0.7166666666666668, ensemble_size: 10, duration: 22.352402210235596, other_results = []
experiment id: 51, method: ndea, base_learner: Decision Stump task: 40, fold: 5, accuracy: 0.8095238095238095, train_accuracy: 0.6333333333333333, ensemble_size: 10, duration: 19.315267086029053, other_results = []
experiment id: 52, method: ndea, base_learner: Decision Tree task: 40, fold: 6, accuracy: 0.7142857142857143, train_accuracy: 0.7333333333333334, ensemble_size: 10, duration: 19.20186495780945, other_results = []
experiment id: 53, method: ndea, base_learner: Decision Stump task: 40, fold: 6, accuracy: 0.6666666666666666, train_accuracy: 0.6666666666666666, ensemble_size: 10, duration: 19.45750904083252, other_results = []
experiment id: 54, method: ndea, base_learner: Decision Tree task: 40, fold: 7, accuracy: 0.7619047619047619, train_accuracy: 0.7166666666666667, ensemble_size: 10, duration: 18.91650390625, other_results = []
experiment id: 55, method: ndea, base_learner: Decision Stump task: 40, fold: 7, accuracy: 0.42857142857142855, train_accuracy: 0.75, ensemble_size: 10, duration: 18.54296326637268, other_results = []
experiment id: 56, method: ndea, base_learner: Decision Tree task: 40, fold: 8, accuracy: 0.6666666666666666, train_accuracy: 0.7000000000000001, ensemble_size: 10, duration: 17.97810411453247, other_results = []
experiment id: 57, method: ndea, base_learner: Decision Stump task: 40, fold: 8, accuracy: 0.7142857142857143, train_accuracy: 0.6333333333333333, ensemble_size: 10, duration: 17.91767954826355, other_results = []
experiment id: 58, method: ndea, base_learner: Decision Tree task: 40, fold: 9, accuracy: 0.8571428571428571, train_accuracy: 0.7333333333333334, ensemble_size: 10, duration: 22.090792179107666, other_results = []
experiment id: 59, method: ndea, base_learner: Decision Stump task: 40, fold: 9, accuracy: 0.7619047619047619, train_accuracy: 0.6833333333333332, ensemble_size: 10, duration: 21.134841203689575, other_results = []
experiment id: 60, method: ndea, base_learner: Decision Tree task: 146204, fold: 0, accuracy: 0.671875, train_accuracy: 0.5960648148148149, ensemble_size: 10, duration: 1060.9289779663086, other_results = []
experiment id: 61, method: ndea, base_learner: Decision Stump task: 146204, fold: 0, accuracy: 0.725, train_accuracy: 0.43402777777777785, ensemble_size: 10, duration: 1197.272848367691, other_results = []
experiment id: 62, method: ndea, base_learner: Decision Tree task: 146204, fold: 1, accuracy: 0.65625, train_accuracy: 0.5856481481481483, ensemble_size: 10, duration: 1463.6570086479187, other_results = []
experiment id: 63, method: ndea, base_learner: Decision Stump task: 146204, fold: 1, accuracy: 0.684375, train_accuracy: 0.5243055555555555, ensemble_size: 10, duration: 1115.7429099082947, other_results = []
experiment id: 64, method: ndea, base_learner: Decision Tree task: 146204, fold: 2, accuracy: 0.646875, train_accuracy: 0.5844907407407408, ensemble_size: 10, duration: 973.8626999855042, other_results = []
experiment id: 360, method: conda, base_learner: Decision Tree task: 145681, fold: 0, accuracy: 0.636734693877551, train_accuracy: 0.6349206349206348, ensemble_size: 1, duration: 8532.807513713837, other_results = [('size: 1', 'test accuracy:0.636734693877551', 'train accuracy: 0.6349206349206349'), ('size: 1', 'test accuracy:0.6346938775510204', 'train accuracy: 0.6349206349206349'), ('size: 1', 'test accuracy:0.636734693877551', 'train accuracy: 0.6349206349206349'), ('size: 1', 'test accuracy:0.6326530612244898', 'train accuracy: 0.6349206349206349'), ('size: 1', 'test accuracy:0.6408163265306123', 'train accuracy: 0.6349206349206349'), ('size: 5', 'test accuracy:0.6816326530612244', 'train accuracy: 0.6761904761904761'), ('size: 2', 'test accuracy:0.6306122448979592', 'train accuracy: 0.6444444444444445'), ('size: 4', 'test accuracy:0.6795918367346939', 'train accuracy: 0.6666666666666666'), ('size: 3', 'test accuracy:0.6489795918367347', 'train accuracy: 0.6648526077097505'), ('size: 1', 'test accuracy:0.6489795918367347', 'train accuracy: 0.6249433106575963'), ('size: 1', 'test accuracy:0.6346938775510204', 'train accuracy: 0.6249433106575963'), ('size: 6', 'test accuracy:0.6693877551020408', 'train accuracy: 0.6689342403628118'), ('size: 19', 'test accuracy:0.6755102040816326', 'train accuracy: 0.6725623582766439'), ('size: 2', 'test accuracy:0.6265306122448979', 'train accuracy: 0.634920634920635'), ('size: 3', 'test accuracy:0.6510204081632653', 'train accuracy: 0.6643990929705216'), ('size: 1', 'test accuracy:0.636734693877551', 'train accuracy: 0.619047619047619'), ('size: 21', 'test accuracy:0.6714285714285714', 'train accuracy: 0.6702947845804988'), ('size: 6', 'test accuracy:0.6693877551020408', 'train accuracy: 0.6639455782312925'), ('size: 2', 'test accuracy:0.6489795918367347', 'train accuracy: 0.6349206349206348')]
